Hidden Layers,Batch Size,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
5,16,0.001,100,0.6931001146001935,0.6930787894616812,0.59,0.66
5,16,0.001,150,0.6930696754565077,0.6930477309723285,0.655,0.635
5,16,0.001,400,0.692631056419248,0.6925849630958943,0.54,0.555
5,16,0.01,100,0.6869777763603849,0.685842427276032,0.555,0.59
5,16,0.01,150,0.660103226171937,0.6466801302873455,0.605,0.635
5,16,0.01,400,0.3322457824178244,0.2593741045693554,0.895,0.965
5,16,0.1,100,0.23871813427389305,0.15840704604095923,0.92,0.965
5,16,0.1,150,0.20402331077294725,0.14150126019933484,0.935,0.955
5,16,0.1,400,0.18827019743189716,0.1226580177425862,0.945,0.96
5,32,0.001,100,0.6931001156866582,0.6930787909668275,0.59,0.66
5,32,0.001,150,0.6930696737317542,0.6930477288067901,0.655,0.635
5,32,0.001,400,0.6926310446844676,0.692584946476794,0.54,0.555
5,32,0.01,100,0.6869798993659731,0.6858554870419773,0.555,0.59
5,32,0.01,150,0.6601260372880009,0.6467596250406842,0.605,0.635
5,32,0.01,400,0.3321091459051818,0.25917987533584413,0.895,0.965
5,32,0.1,100,0.23528942682179896,0.16793452370443113,0.92,0.935
5,32,0.1,150,0.2041050687381643,0.15328928377912646,0.935,0.945
5,32,0.1,400,0.1947980479062774,0.13369192722431156,0.94,0.955
5,64,0.001,100,0.6931001083378129,0.6930787743496318,0.59,0.66
5,64,0.001,150,0.6930696606404859,0.693047705419906,0.655,0.635
5,64,0.001,400,0.6926308500908749,0.6925846624269829,0.54,0.555
5,64,0.01,100,0.6869578662062844,0.6858405913035074,0.555,0.59
5,64,0.01,150,0.6601144455539043,0.6467100377805332,0.605,0.635
5,64,0.01,400,0.328726024370728,0.25498347048649544,0.89,0.96
5,64,0.1,100,0.24172529103368556,0.1798140443740465,0.91,0.935
5,64,0.1,150,0.22421844626981857,0.18260320875037203,0.905,0.94
5,64,0.1,400,0.1944996776787957,0.14063688866268995,0.94,0.945
10,16,0.001,100,0.6931278164739636,0.6931049049089083,0.5,0.5
10,16,0.001,150,0.6931023098748617,0.6930768010780238,0.64,0.705
10,16,0.001,400,0.6927700648115621,0.6927079196783734,0.545,0.56
10,16,0.01,100,0.6892986924493104,0.6904612270625811,0.55,0.565
10,16,0.01,150,0.6868934184149349,0.6866613505741939,0.565,0.595
10,16,0.01,400,0.3379430582195033,0.2631393277997874,0.895,0.96
10,16,0.1,100,0.22572582540681574,0.14745885328746558,0.92,0.965
10,16,0.1,150,0.19614151829176396,0.13632138047118392,0.94,0.955
10,16,0.1,400,0.1849617685733319,0.12259507978220341,0.95,0.96
10,32,0.001,100,0.6931278153930032,0.6931049062886753,0.5,0.5
10,32,0.001,150,0.6931023077949606,0.6930768007723814,0.64,0.705
10,32,0.001,400,0.6927700516316457,0.6927078963938436,0.545,0.56
10,32,0.01,100,0.6892987141614122,0.6904629528489227,0.55,0.565
10,32,0.01,150,0.6868961374485889,0.6866696389001686,0.565,0.595
10,32,0.01,400,0.3363962475020692,0.26164491684465274,0.895,0.96
