Hidden Layers,Batch Size,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
5,16,0.001,100,0.24999704751151547,0.24998551326568896,0.5,0.5
5,16,0.001,150,0.24999561542946608,0.24998426054836284,0.5,0.5
5,16,0.001,400,0.24998801914497956,0.24997719648383254,0.5,0.5
5,16,0.01,100,0.24996846800000527,0.24995729994028895,0.59,0.62
5,16,0.01,150,0.24994436218816687,0.24993317187176045,0.605,0.64
5,16,0.01,400,0.24944943051791588,0.2494289339599321,0.545,0.555
5,16,0.1,100,0.24138572392419327,0.23800176562530542,0.59,0.605
5,16,0.1,150,0.22022671767638202,0.20890373996289965,0.66,0.665
5,16,0.1,400,0.07764679065233525,0.04381665188144148,0.895,0.97
5,32,0.001,100,0.24999844170868987,0.2499867791602504,0.5,0.5
5,32,0.001,150,0.2499977402758148,0.2499862399781767,0.5,0.5
5,32,0.001,400,0.24999333505096238,0.24998225545994043,0.5,0.5
5,32,0.01,100,0.24998440813978895,0.24997316347576415,0.605,0.705
5,32,0.01,150,0.24997627337064798,0.2499662549392247,0.53,0.63
5,32,0.01,400,0.2498856746063911,0.24987345791415896,0.545,0.555
5,32,0.1,100,0.24894767215379374,0.24877717050152726,0.53,0.51
5,32,0.1,150,0.24664007955637815,0.24591429232223574,0.575,0.595
5,32,0.1,400,0.17076314967615758,0.14676031456503108,0.8,0.83
5,64,0.001,100,0.24999914738188533,0.2499874181696237,0.5,0.5
5,64,0.001,150,0.24999882442113353,0.24998724560804284,0.5,0.5
5,64,0.001,400,0.24999599498862962,0.24998474482204827,0.5,0.5
5,64,0.01,100,0.2499910095705926,0.24997941831608295,0.5,0.51
5,64,0.01,150,0.24998741147420664,0.24997721823677174,0.5,0.5
5,64,0.01,400,0.24995549492993793,0.24994671900230445,0.53,0.505
5,64,0.1,100,0.2498124276584822,0.24975699798708892,0.395,0.355
5,64,0.1,150,0.24940000573664473,0.2494257099896693,0.6,0.645
5,64,0.1,400,0.23093427232206928,0.22351570194661832,0.61,0.63
10,16,0.001,100,0.2500117802413246,0.25000108407860033,0.5,0.5
10,16,0.001,150,0.2500100354976471,0.2499994769734711,0.5,0.5
10,16,0.001,400,0.250001461758776,0.24999079885461226,0.5,0.5
10,16,0.01,100,0.24998274366105122,0.24996765388291023,0.505,0.515
10,16,0.01,150,0.2499631702921771,0.24994747766841885,0.625,0.69
10,16,0.01,400,0.24955644027154023,0.24952030971622668,0.545,0.56
10,16,0.1,100,0.24740235496516655,0.24753520661970063,0.555,0.555
10,16,0.1,150,0.24148839179500797,0.23734186434073848,0.595,0.61
10,16,0.1,400,0.06640238618731939,0.03675824939408952,0.925,0.965
10,32,0.001,100,0.2500137049342897,0.2500028872532618,0.5,0.5
10,32,0.001,150,0.25001280737060233,0.2500022371606386,0.5,0.5
10,32,0.001,400,0.2500074396635401,0.24999703304251028,0.5,0.5
10,32,0.01,100,0.24999887453212685,0.24998361190590723,0.5,0.5
10,32,0.01,150,0.24999041759381582,0.24997715466086376,0.5,0.5
10,32,0.01,400,0.24991678576817644,0.24989761783287537,0.545,0.575
10,32,0.1,100,0.24884197074641812,0.24866315340875503,0.525,0.515
10,32,0.1,150,0.24796110116250747,0.2484300867822608,0.55,0.59
10,32,0.1,400,0.15818121183422035,0.12870294600978524,0.81,0.895
10,64,0.001,100,0.25001471780738255,0.2500038366961998,0.5,0.5
10,64,0.001,150,0.250014290790222,0.2500037098779088,0.5,0.5
10,64,0.001,400,0.2500107133626184,0.250000402431341,0.5,0.5
10,64,0.01,100,0.25000886942879597,0.2499931687107037,0.5,0.5
10,64,0.01,150,0.2500042774989278,0.24999145496468458,0.5,0.5
