Hidden Layers 1,Hidden Layers 2,Batch Size,Dropout,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
5,5,16,0.005,0.1,1500,0.10200188308954239,0.12681950628757477,0.8,0.84
5,5,16,0.05,0.1,1500,0.2979982793331146,0.11980871111154556,0.805,0.855
5,5,16,0.1,0.1,1500,0.27787092328071594,0.12889261543750763,0.76,0.805
5,5,16,0.005,0.13,1500,0.12212137877941132,0.1825447976589203,0.765,0.77
5,5,16,0.05,0.13,1500,0.17270779609680176,0.1909366101026535,0.66,0.74
5,5,16,0.1,0.13,1500,0.26619064807891846,0.23485632240772247,0.625,0.645
5,5,32,0.005,0.1,1500,0.09355650842189789,0.09336671233177185,0.845,0.865
5,5,32,0.05,0.1,1500,0.11181364208459854,0.13107354938983917,0.785,0.85
5,5,32,0.1,0.1,1500,0.08693107962608337,0.12147483229637146,0.78,0.85
5,5,32,0.005,0.13,1500,0.23605741560459137,0.19117853045463562,0.605,0.72
5,5,32,0.05,0.13,1500,0.31246161460876465,0.16970252990722656,0.675,0.795
5,5,32,0.1,0.13,1500,0.27949556708335876,0.16360805928707123,0.76,0.76
5,10,16,0.005,0.1,1500,0.17759540677070618,0.16279979050159454,0.695,0.8
5,10,16,0.05,0.1,1500,0.11105555295944214,0.18103918433189392,0.745,0.725
5,10,16,0.1,0.1,1500,0.058684878051280975,0.21942779421806335,0.695,0.7
5,10,16,0.005,0.13,1500,0.11026955395936966,0.23321565985679626,0.76,0.725
5,10,16,0.05,0.13,1500,0.20573806762695312,0.20710285007953644,0.62,0.645
5,10,16,0.1,0.13,1500,0.03628706932067871,0.15627636015415192,0.805,0.83
5,10,32,0.005,0.1,1500,0.1035904735326767,0.09524260461330414,0.765,0.9
5,10,32,0.05,0.1,1500,0.24071963131427765,0.10351093113422394,0.845,0.9
5,10,32,0.1,0.1,1500,0.3296055793762207,0.179454043507576,0.825,0.725
5,10,32,0.005,0.13,1500,0.25328540802001953,0.30486297607421875,0.665,0.665
5,10,32,0.05,0.13,1500,0.2974056601524353,0.15155558288097382,0.76,0.8
5,10,32,0.1,0.13,1500,0.22695080935955048,0.12359209358692169,0.745,0.84
5,15,16,0.005,0.1,1500,0.3166951537132263,0.2881366014480591,0.5,0.5
5,15,16,0.05,0.1,1500,0.22423429787158966,0.11622850596904755,0.77,0.875
5,15,16,0.1,0.1,1500,0.1972873955965042,0.16350597143173218,0.695,0.8
5,15,16,0.005,0.13,1500,0.2297670543193817,0.22727780044078827,0.555,0.615
5,15,16,0.05,0.13,1500,0.29248306155204773,0.22811885178089142,0.68,0.6
5,15,16,0.1,0.13,1500,0.2685970067977905,0.24830874800682068,0.49,0.535
5,15,32,0.005,0.1,1500,0.003898788709193468,0.10646918416023254,0.845,0.85
5,15,32,0.05,0.1,1500,0.17614544928073883,0.11901401728391647,0.77,0.81
5,15,32,0.1,0.1,1500,0.14609375596046448,0.1708722561597824,0.77,0.815
5,15,32,0.005,0.13,1500,0.2821601331233978,0.1781700849533081,0.655,0.75
5,15,32,0.05,0.13,1500,0.20202168822288513,0.18911561369895935,0.715,0.67
5,15,32,0.1,0.13,1500,0.25038599967956543,0.08514533191919327,0.8,0.825
