Hidden Layers 1,Hidden Layers 2,Batch Size,Weight Decay,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
5,5,16,1e-05,0.1,1500,0.12790419161319733,0.21909011900424957,0.62,0.64
5,5,16,1e-06,0.1,1500,0.39384225010871887,0.243755042552948,0.615,0.65
5,5,16,1e-05,0.1,2000,0.3047490119934082,0.24513940513134003,0.475,0.545
5,5,16,1e-06,0.1,2000,0.35126280784606934,0.22771158814430237,0.605,0.65
5,5,16,1e-05,0.13,1500,0.29422950744628906,0.25986427068710327,0.5,0.535
5,5,16,1e-06,0.13,1500,0.23319236934185028,0.2563769817352295,0.455,0.475
5,5,16,1e-05,0.13,2000,0.2235138863325119,0.25702226161956787,0.53,0.525
5,5,16,1e-06,0.13,2000,0.28440332412719727,0.2537418305873871,0.625,0.56
5,5,32,1e-05,0.1,1500,0.1472313106060028,0.2416732758283615,0.67,0.665
5,5,32,1e-06,0.1,1500,0.237831249833107,0.24438701570034027,0.49,0.54
5,5,32,1e-05,0.1,2000,0.20836752653121948,0.235733300447464,0.57,0.64
5,5,32,1e-06,0.1,2000,0.25578901171684265,0.23259872198104858,0.62,0.68
5,5,32,1e-05,0.13,1500,0.22007015347480774,0.2388468235731125,0.585,0.62
5,5,32,1e-06,0.13,1500,0.2251620590686798,0.22626522183418274,0.6,0.61
5,5,32,1e-05,0.13,2000,0.2616889476776123,0.2551933228969574,0.55,0.435
5,5,32,1e-06,0.13,2000,0.219471737742424,0.26280373334884644,0.51,0.495
5,10,16,1e-05,0.1,1500,0.34413444995880127,0.23799826204776764,0.68,0.65
5,10,16,1e-06,0.1,1500,0.37389659881591797,0.26454606652259827,0.545,0.52
5,10,16,1e-05,0.1,2000,0.21089275181293488,0.2419578731060028,0.55,0.585
5,10,16,1e-06,0.1,2000,0.2731975018978119,0.23979948461055756,0.605,0.63
5,10,16,1e-05,0.13,1500,0.3617662489414215,0.26427561044692993,0.54,0.54
5,10,16,1e-06,0.13,1500,0.28443506360054016,0.25001952052116394,0.48,0.49
5,10,16,1e-05,0.13,2000,0.3123883605003357,0.2899859547615051,0.52,0.565
5,10,16,1e-06,0.13,2000,0.31439879536628723,0.24621906876564026,0.54,0.6
5,10,32,1e-05,0.1,1500,0.2744161784648895,0.22208158671855927,0.625,0.685
5,10,32,1e-06,0.1,1500,0.292194128036499,0.22222961485385895,0.61,0.71
5,10,32,1e-05,0.1,2000,0.15559905767440796,0.23805813491344452,0.665,0.695
5,10,32,1e-06,0.1,2000,0.26974019408226013,0.26731276512145996,0.53,0.485
5,10,32,1e-05,0.13,1500,0.2716938257217407,0.2600255310535431,0.56,0.545
5,10,32,1e-06,0.13,1500,0.4590759575366974,0.27343612909317017,0.515,0.54
5,10,32,1e-05,0.13,2000,0.3367471992969513,0.24832414090633392,0.63,0.665
5,10,32,1e-06,0.13,2000,0.26916196942329407,0.23388689756393433,0.63,0.615
5,15,16,1e-05,0.1,1500,0.1728575974702835,0.29889413714408875,0.48,0.49
5,15,16,1e-06,0.1,1500,0.1770680993795395,0.3065282106399536,0.47,0.495
5,15,16,1e-05,0.1,2000,0.24716885387897491,0.23154406249523163,0.535,0.535
5,15,16,1e-06,0.1,2000,0.37480372190475464,0.24908265471458435,0.51,0.645
5,15,16,1e-05,0.13,1500,0.48553887009620667,0.27193352580070496,0.48,0.505
5,15,16,1e-06,0.13,1500,0.28445085883140564,0.287797212600708,0.525,0.615
5,15,16,1e-05,0.13,2000,0.2325315922498703,0.27306413650512695,0.55,0.555
5,15,16,1e-06,0.13,2000,0.18413850665092468,0.24730350077152252,0.485,0.525
5,15,32,1e-05,0.1,1500,0.3061735928058624,0.2257479876279831,0.625,0.655
5,15,32,1e-06,0.1,1500,0.34489113092422485,0.26367542147636414,0.54,0.495
5,15,32,1e-05,0.1,2000,0.2473093569278717,0.24619613587856293,0.69,0.72
5,15,32,1e-06,0.1,2000,0.1472153663635254,0.28175657987594604,0.565,0.625
5,15,32,1e-05,0.13,1500,0.287178635597229,0.26736998558044434,0.525,0.575
5,15,32,1e-06,0.13,1500,0.32756346464157104,0.2508031725883484,0.525,0.66
5,15,32,1e-05,0.13,2000,0.4029258191585541,0.266404926776886,0.49,0.565
5,15,32,1e-06,0.13,2000,0.32021796703338623,0.2598114311695099,0.55,0.515
10,5,16,1e-05,0.1,1500,0.17935608327388763,0.22931480407714844,0.6,0.655
10,5,16,1e-06,0.1,1500,0.2517748475074768,0.20972025394439697,0.675,0.7
10,5,16,1e-05,0.1,2000,0.2480037659406662,0.18953226506710052,0.645,0.74
10,5,16,1e-06,0.1,2000,0.20608055591583252,0.22022327780723572,0.575,0.575
10,5,16,1e-05,0.13,1500,0.2233014553785324,0.2492421567440033,0.53,0.555
10,5,16,1e-06,0.13,1500,0.1824493557214737,0.2458021342754364,0.595,0.63
10,5,16,1e-05,0.13,2000,0.27650439739227295,0.2822169065475464,0.535,0.505
10,5,16,1e-06,0.13,2000,0.2715294659137726,0.2591521739959717,0.495,0.57
10,5,32,1e-05,0.1,1500,0.20103983581066132,0.18408992886543274,0.685,0.72
10,5,32,1e-06,0.1,1500,0.1585986316204071,0.2215222418308258,0.645,0.66
