Hidden Layers,Batch Size,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
5,16,0.01,150,0.4955648702348372,0.5086061060188524,0.735,0.705
5,16,0.01,400,0.4819413676996268,0.5159608586113652,0.735,0.715
5,16,0.01,1000,0.4765951816820507,0.504810737664654,0.74,0.745
5,16,0.1,150,0.4292576196668277,0.45547906469765903,0.775,0.75
5,16,0.1,400,0.2696844163127961,0.19465346205996803,0.88,0.91
5,16,0.1,1000,0.23921723024876776,0.2572556165452368,0.895,0.885
5,16,0.13,150,0.4405437356438751,0.4970431315783438,0.795,0.775
5,16,0.13,400,0.33441097781171747,0.5135398369742269,0.865,0.855
5,16,0.13,1000,0.40362599311377556,0.6325976834170496,0.9,0.88
5,32,0.01,150,0.5008875452312745,0.512589988725193,0.745,0.7
5,32,0.01,400,0.4868073957068242,0.5228646855902069,0.73,0.71
5,32,0.01,1000,0.47404149190413464,0.4991312692263024,0.74,0.74
5,32,0.1,150,0.49626382785601103,0.5791304597078948,0.77,0.745
5,32,0.1,400,0.36812803905862396,0.38783544722577934,0.845,0.845
5,32,0.1,1000,0.28879991494294666,0.2964510949420355,0.915,0.88
5,32,0.13,150,0.5395024235869528,0.5710767681744734,0.74,0.695
5,32,0.13,400,0.4101725123519674,0.6480521916765247,0.84,0.775
5,32,0.13,1000,0.4043601486094836,0.6823276553153957,0.81,0.735
5,64,0.01,150,0.48523898491843853,0.5116263783544212,0.735,0.735
5,64,0.01,400,0.4916848968891422,0.5297991936168583,0.725,0.705
5,64,0.01,1000,0.4671996114447527,0.48798931101413584,0.745,0.72
5,64,0.1,150,0.5100134945146274,0.6507713199265087,0.745,0.7
5,64,0.1,400,0.4902097962109833,0.6810375687684239,0.765,0.72
5,64,0.1,1000,0.48277398501978763,0.6873092265676943,0.765,0.7
5,64,0.13,150,0.5469427502801892,0.6247746373673114,0.75,0.735
5,64,0.13,400,0.5041807353010184,0.6436226163763714,0.75,0.675
5,64,0.13,1000,0.46013263027852674,0.3962577088487106,0.785,0.815
10,16,0.01,150,0.4849992777220213,0.49977060237001675,0.745,0.715
10,16,0.01,400,0.47635948239987924,0.5094346041113677,0.735,0.72
10,16,0.01,1000,0.47436026210730525,0.5016825886422032,0.745,0.745
10,16,0.1,150,0.5108567972678085,0.5242623924102346,0.745,0.7
10,16,0.1,400,0.17519920340124392,0.16629809731686265,0.97,0.97
10,16,0.1,1000,0.20808807304324972,0.22485454018728376,0.945,0.94
10,16,0.13,150,0.44658432902569234,0.4431254647302134,0.79,0.745
10,16,0.13,400,0.3697863059874109,0.303809114100422,0.905,0.92
10,16,0.13,1000,0.24830361007177387,0.2930371783098691,0.92,0.915
10,32,0.01,150,0.48749880296284814,0.5013078247804327,0.74,0.715
10,32,0.01,400,0.47943153587524007,0.515032231089762,0.735,0.71
10,32,0.01,1000,0.47633581118663315,0.5013517683236983,0.74,0.74
10,32,0.1,150,0.5356950007907243,0.6095915221645959,0.735,0.705
10,32,0.1,400,0.259952592211121,0.43791863923041446,0.9,0.85
10,32,0.1,1000,0.1252180190774764,0.17243896523094937,0.965,0.945
10,32,0.13,150,0.6229414104666924,0.6882862669713155,0.715,0.685
10,32,0.13,400,0.36330470276227883,0.43031309278264,0.85,0.845
10,32,0.13,1000,0.31637705880927547,0.6449722249832199,0.93,0.87
10,64,0.01,150,0.4797735005787446,0.5010756466214639,0.745,0.725
10,64,0.01,400,0.4827185946343255,0.5209020413592887,0.72,0.705
10,64,0.01,1000,0.478289388347265,0.5011205591517617,0.74,0.73
10,64,0.1,150,0.5666166357847103,0.6957489778939882,0.74,0.725
10,64,0.1,400,0.2756962569140301,0.5029964076389869,0.915,0.83
10,64,0.1,1000,0.2799725747330293,0.40118127089960964,0.93,0.905
10,64,0.13,150,0.5261991552756156,0.6490166183459795,0.75,0.72
10,64,0.13,400,0.4047977198022481,0.7303884731775219,0.795,0.685
10,64,0.13,1000,0.46219197928252354,1.3225953549262044,0.825,0.75
15,16,0.01,150,0.48040027922750944,0.49628661607026214,0.75,0.715
15,16,0.01,400,0.47382800571810235,0.5064994214370493,0.735,0.72
15,16,0.01,1000,0.47243683060484487,0.4987279221176301,0.745,0.74
15,16,0.1,150,0.5328935488605796,0.5445303901612961,0.74,0.705
15,16,0.1,400,0.34096385277185814,0.3409880261657577,0.87,0.865
15,16,0.1,1000,0.274355477354743,0.3012544213695758,0.945,0.915
15,16,0.13,150,0.5388807717571396,0.5502296879774959,0.74,0.7
15,16,0.13,400,0.1915400935703817,0.4736225939252695,0.92,0.88
15,16,0.13,1000,0.2542082340376399,0.7596667245981482,0.89,0.83
15,32,0.01,150,0.48207788273705104,0.4971133468890517,0.745,0.715
15,32,0.01,400,0.47589773010288255,0.5109280912762039,0.735,0.71
15,32,0.01,1000,0.47400641424440076,0.49859742158933457,0.74,0.735
15,32,0.1,150,0.5799838366889744,0.5832643881543235,0.72,0.685
15,32,0.1,400,0.4710575961847556,0.510326732597112,0.8,0.775
15,32,0.1,1000,0.30692068591369726,0.3296308240155659,0.92,0.9
15,32,0.13,150,0.6332680309982627,0.7129711234338597,0.73,0.685
15,32,0.13,400,0.2875950546995258,0.6182808683802661,0.93,0.86
15,32,0.13,1000,0.6563978892160097,1.3876537577488983,0.88,0.81
15,64,0.01,150,0.4781598189792035,0.49719191422014863,0.75,0.73
15,64,0.01,400,0.47847609932855983,0.5161952863175557,0.725,0.71
15,64,0.01,1000,0.4762418558374813,0.49790803873453093,0.735,0.725
15,64,0.1,150,0.5576840677737142,0.7128078884909028,0.745,0.71
15,64,0.1,400,0.6070885973032389,0.8702501860589217,0.735,0.65
15,64,0.1,1000,0.14714937921977644,0.3807748258517086,0.955,0.915
15,64,0.13,150,0.5538977450232698,0.7740094791177446,0.755,0.74
15,64,0.13,400,0.3882519272658058,0.7328797241814599,0.87,0.78
15,64,0.13,1000,0.21763231047355946,0.6727280077550484,0.95,0.88
20,16,0.01,150,0.4711201349104283,0.4959452977703739,0.74,0.735
20,16,0.01,400,0.4795367165652938,0.5213738671537976,0.725,0.695
20,16,0.01,1000,0.47120901450007024,0.49635525824936866,0.735,0.735
20,16,0.1,150,0.4863770682543613,0.5191887805454322,0.735,0.74
20,16,0.1,400,0.4642854342642043,0.556619486244263,0.735,0.685
20,16,0.1,1000,0.1545416575421115,0.1289939545116856,0.985,0.98
20,16,0.13,150,0.4952985463692411,0.537947408627167,0.735,0.74
20,16,0.13,400,0.33633908222320946,0.3112124543330367,0.87,0.87
20,16,0.13,1000,0.3062251392850273,0.4484327054036969,0.925,0.885
20,32,0.01,150,0.472688841642064,0.49592344181495873,0.74,0.725
20,32,0.01,400,0.4777860438505476,0.5175208355816031,0.73,0.7
20,32,0.01,1000,0.4735040994097751,0.4954841998764288,0.735,0.72
20,32,0.1,150,0.4911856546737021,0.5141715719634179,0.74,0.73
20,32,0.1,400,0.3444618124527797,0.3591407996912831,0.87,0.865
20,32,0.1,1000,0.2941568695311237,0.35651206740757174,0.935,0.905
20,32,0.13,150,0.8826660548723839,0.9268584595565926,0.725,0.7
20,32,0.13,400,0.22081770243506746,0.2293857208018125,0.955,0.935
20,32,0.13,1000,0.39742021030722824,0.44192531845725536,0.885,0.855
20,64,0.01,150,0.4744892164911474,0.4961100192179537,0.74,0.73
20,64,0.01,400,0.48152187372969235,0.5251416600801531,0.73,0.695
20,64,0.01,1000,0.47456723196050915,0.49578101777090255,0.735,0.72
20,64,0.1,150,0.5321038327195339,0.813056539987197,0.75,0.735
20,64,0.1,400,0.6354302409705032,1.2724489301337971,0.775,0.705
20,64,0.1,1000,0.45145836308247556,1.4773877513862865,0.91,0.815
20,64,0.13,150,0.5044755739276315,0.6953564928153049,0.75,0.715
20,64,0.13,400,0.6388418709438594,1.476015185952013,0.795,0.745
20,64,0.13,1000,0.512846686800443,1.9627154058122096,0.89,0.785
25,16,0.01,150,0.46861051894737116,0.5035155571090043,0.74,0.715
25,16,0.01,400,0.4703911833937635,0.5063258993949664,0.735,0.715
25,16,0.01,1000,0.47045601072176507,0.4953525844459791,0.74,0.735
25,16,0.1,150,0.49015785830107234,0.534006433523094,0.735,0.7
25,16,0.1,400,0.49311980339748046,0.5419379014282419,0.735,0.7
25,16,0.1,1000,0.3221690786768457,0.2690854573540943,0.905,0.935
25,16,0.13,150,0.5023736501264391,0.5558375770329057,0.73,0.695
