Hidden Layers,Batch Size,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
5,16,0.01,500,0.15725239913106656,0.17038272274820143,0.745,0.735
5,16,0.01,1000,0.15645490086089678,0.16797784571602933,0.74,0.735
5,16,0.01,1500,0.15602249786217917,0.16799688954325448,0.74,0.74
5,16,0.1,500,0.16182105126414348,0.178632333131304,0.73,0.71
5,16,0.1,1000,0.1106114704785437,0.1097641381422501,0.84,0.82
5,16,0.1,1500,0.03250386853456153,0.02683947913466029,0.97,0.965
5,16,0.13,500,0.16176839115057007,0.17896443503886758,0.73,0.71
5,16,0.13,1000,0.06394629550410022,0.04570068496625968,0.915,0.945
5,16,0.13,1500,0.028574308804972894,0.025742839768241668,0.965,0.96
5,64,0.01,500,0.16046798863935322,0.17187652475278753,0.74,0.74
5,64,0.01,1000,0.1581637918158008,0.17098849493961069,0.745,0.735
5,64,0.01,1500,0.15751190160321024,0.17117099699303423,0.745,0.735
5,64,0.1,500,0.15823698505074424,0.17080673384193118,0.745,0.74
5,64,0.1,1000,0.1626550591973793,0.1716577545313123,0.74,0.72
5,64,0.1,1500,0.16078321696153744,0.17737444912287767,0.735,0.72
5,64,0.13,500,0.15904396348372113,0.17276973782204683,0.74,0.74
5,64,0.13,1000,0.16396177114668675,0.17285500171638282,0.745,0.715
5,64,0.13,1500,0.16176387125210367,0.17882579425547981,0.735,0.71
10,16,0.01,500,0.15624821293654265,0.16917603250224056,0.745,0.74
10,16,0.01,1000,0.15568822501653876,0.16754728625169268,0.74,0.74
10,16,0.01,1500,0.15539951660328863,0.16761359013532817,0.745,0.74
10,16,0.1,500,0.15952464729176796,0.17598863452735622,0.735,0.71
10,16,0.1,1000,0.1579254819076555,0.16931624324356379,0.74,0.735
10,16,0.1,1500,0.1575745885434026,0.16976212344854616,0.735,0.735
10,16,0.13,500,0.1602656290630332,0.17682593136756958,0.735,0.71
10,16,0.13,1000,0.1583914981463589,0.16980643382101754,0.735,0.735
10,16,0.13,1500,0.10278640359212737,0.10509276606077131,0.85,0.835
10,64,0.01,500,0.15832703171882856,0.1701311996389746,0.74,0.74
10,64,0.01,1000,0.1569399296688671,0.17014245269900394,0.745,0.735
10,64,0.01,1500,0.15651960411148833,0.17030293062590907,0.74,0.735
10,64,0.1,500,0.15715281249273197,0.1682061309162266,0.735,0.735
10,64,0.1,1000,0.1597600399707684,0.16931498230395906,0.745,0.735
10,64,0.1,1500,0.15819615021279673,0.17365446255434613,0.74,0.725
10,64,0.13,500,0.15727186454717038,0.16885945166141597,0.73,0.735
10,64,0.13,1000,0.16082017693467365,0.17014185196583603,0.74,0.73
10,64,0.13,1500,0.15904198559866484,0.17496977637172725,0.74,0.715
15,16,0.01,500,0.15586445186250025,0.1687190295555262,0.74,0.74
15,16,0.01,1000,0.1553729587097302,0.16738756252994455,0.74,0.74
15,16,0.01,1500,0.1551379045037674,0.16746746899825254,0.745,0.74
15,16,0.1,500,0.15840674922052955,0.17452790680192606,0.735,0.71
15,16,0.1,1000,0.15719619414739291,0.1685053680095754,0.74,0.73
15,16,0.1,1500,0.15697492738565158,0.16895784360493005,0.74,0.735
15,16,0.13,500,0.15904783372169834,0.17533416921504488,0.735,0.71
15,16,0.13,1000,0.1576207925961545,0.1690238018940648,0.74,0.735
15,16,0.13,1500,0.15738150756921862,0.16953986241683394,0.735,0.735
15,64,0.01,500,0.15761446972701734,0.16957533013194367,0.74,0.74
15,64,0.01,1000,0.1564474513431129,0.16977590874619353,0.745,0.735
15,64,0.01,1500,0.15610190940029964,0.16992227609998026,0.745,0.735
15,64,0.1,500,0.1568055818322591,0.16743982895207585,0.735,0.73
15,64,0.1,1000,0.15844384171938844,0.16840446744553042,0.745,0.73
15,64,0.1,1500,0.15724594821557683,0.17224698779405145,0.74,0.735
15,64,0.13,500,0.15688936673475465,0.16776894863254888,0.74,0.735
15,64,0.13,1000,0.15933292601001298,0.16903526955152867,0.75,0.735
