Hidden Layers,Batch Size,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
5,16,0.001,100,0.6840971399226379,0.7072704390836563,0.57,0.455
5,16,0.001,150,0.6835246287434151,0.7109187772705056,0.57,0.455
5,16,0.001,500,0.6830435428458671,0.7155245488476119,0.57,0.455
5,16,0.01,100,0.6803019578562838,0.7148330925785013,0.57,0.455
5,16,0.01,150,0.6741890041283723,0.7161655885374375,0.645,0.53
5,16,0.01,500,0.4600291533669253,0.5038123318629693,0.805,0.745
5,16,0.1,100,0.26765135013589125,0.38198696313760794,0.89,0.84
5,16,0.1,150,0.2220162724807856,0.32160781410240785,0.93,0.86
5,16,0.1,500,0.15200782875498128,0.2771392127259717,0.95,0.89
5,32,0.001,100,0.6840963494837221,0.7072742442289046,0.57,0.455
5,32,0.001,150,0.6835243788055304,0.710921215517073,0.57,0.455
5,32,0.001,500,0.6830435751407063,0.7155243062002442,0.57,0.455
5,32,0.01,100,0.6803052767852354,0.7148448077647365,0.57,0.455
5,32,0.01,150,0.6741959687211329,0.7161134071172668,0.645,0.53
5,32,0.01,500,0.46001784706942495,0.5036679934978407,0.805,0.745
5,32,0.1,100,0.26972460805495446,0.38767424594805644,0.885,0.835
5,32,0.1,150,0.22644911312944466,0.33062533151487117,0.93,0.855
5,32,0.1,500,0.157609354259048,0.28220873600257684,0.94,0.895
5,64,0.001,100,0.6840947883283546,0.7072817655578223,0.57,0.455
5,64,0.001,150,0.6835237656121155,0.7109271901000489,0.57,0.455
5,64,0.001,500,0.6830436220750882,0.7155252047641543,0.57,0.455
5,64,0.01,100,0.680303549381285,0.7147477284589503,0.57,0.455
5,64,0.01,150,0.6741952739861606,0.7160916547077434,0.645,0.53
5,64,0.01,500,0.4601432665122543,0.5038726799722731,0.805,0.74
5,64,0.1,100,0.29069936143314945,0.4164637145892144,0.875,0.815
5,64,0.1,150,0.237582331710021,0.3561621467268047,0.91,0.845
5,64,0.1,500,0.1756737689862052,0.31955778851805383,0.93,0.88
10,16,0.001,100,0.6840835350930504,0.7072727976290375,0.57,0.455
10,16,0.001,150,0.6835003030410222,0.710910692787773,0.57,0.455
10,16,0.001,500,0.6827991809535362,0.7153864001615713,0.57,0.455
10,16,0.01,100,0.678885118581176,0.7144974548223567,0.57,0.455
10,16,0.01,150,0.6758489419664545,0.7177097299313613,0.665,0.545
10,16,0.01,500,0.5155342023293507,0.5529334857550445,0.75,0.695
10,16,0.1,100,0.23085601900648975,0.30037477606250784,0.905,0.89
10,16,0.1,150,0.11470666518081435,0.1723242026157631,0.99,0.96
10,16,0.1,500,0.04716208246216397,0.10376075379045187,1.0,0.975
10,32,0.001,100,0.6840826397699635,0.7072771167489269,0.57,0.455
10,32,0.001,150,0.6835000228568897,0.7109134299142846,0.57,0.455
10,32,0.001,500,0.6827992321527546,0.7153861584075517,0.57,0.455
10,32,0.01,100,0.6788843950381077,0.7145084157398012,0.57,0.455
10,32,0.01,150,0.6758490034606361,0.7176592709631072,0.665,0.545
10,32,0.01,500,0.5152888353785323,0.5528060899883788,0.75,0.7
10,32,0.1,100,0.23137948165684985,0.30413188171817035,0.9,0.87
10,32,0.1,150,0.1164104821742848,0.17518746453910708,0.99,0.95
10,32,0.1,500,0.049453913873384395,0.11125348549117461,1.0,0.97
10,64,0.001,100,0.684080923073804,0.7072854104198453,0.57,0.455
10,64,0.001,150,0.6834993667707763,0.7109198549786094,0.57,0.455
10,64,0.001,500,0.6827993183939671,0.7153870766810158,0.57,0.455
10,64,0.01,100,0.6788820912874887,0.7144059641209626,0.57,0.455
10,64,0.01,150,0.6758497427375869,0.7176440994272416,0.665,0.545
10,64,0.01,500,0.5150704046355508,0.5528871382820654,0.75,0.7
10,64,0.1,100,0.2422994138652345,0.3218755272963285,0.895,0.86
10,64,0.1,150,0.11821283641950663,0.17820326426421385,0.985,0.955
10,64,0.1,500,0.049443547865557776,0.11141949341076376,1.0,0.975
15,16,0.001,100,0.6840555620179442,0.707316770019923,0.57,0.455
15,16,0.001,150,0.6834763226897455,0.7109425366094709,0.57,0.455
15,16,0.001,500,0.6826951680784838,0.7153744880719026,0.57,0.455
15,16,0.01,100,0.6783980669715478,0.7145324970208411,0.575,0.455
15,16,0.01,150,0.6754280055294041,0.7179685167769665,0.665,0.56
15,16,0.01,500,0.5043257870845566,0.5465527231852879,0.755,0.7
15,16,0.1,100,0.20587306799967872,0.27813664139284067,0.91,0.89
15,16,0.1,150,0.10940307162497435,0.1704976090693633,0.985,0.95
15,16,0.1,500,0.04168875966399676,0.09712152177421117,1.0,0.97
15,32,0.001,100,0.6840546747312928,0.7073210855121652,0.57,0.455
15,32,0.001,150,0.6834760478752662,0.7109452623408421,0.57,0.455
15,32,0.001,500,0.6826952386607695,0.7153742553141302,0.57,0.455
15,32,0.01,100,0.6783996174338506,0.714543574646349,0.575,0.455
15,32,0.01,150,0.6754291840763352,0.717915030306389,0.665,0.56
15,32,0.01,500,0.5037000215724227,0.5458358132705202,0.76,0.705
15,32,0.1,100,0.21245082142362187,0.2873662588469105,0.915,0.89
15,32,0.1,150,0.11164117123270013,0.17180541861174364,0.98,0.945
15,32,0.1,500,0.04214561920365156,0.0977609861097345,1.0,0.965
15,64,0.001,100,0.6840529916988765,0.7073292733805213,0.57,0.455
15,64,0.001,150,0.683475405137154,0.7109516107146103,0.57,0.455
15,64,0.001,500,0.6826953395748723,0.7153751841202515,0.57,0.455
15,64,0.01,100,0.6783939598533953,0.7144397348039899,0.575,0.455
15,64,0.01,150,0.6754298506080326,0.7179011756736746,0.665,0.56
15,64,0.01,500,0.5031478896509861,0.5453844022176704,0.76,0.7
15,64,0.1,100,0.2280968794229215,0.3093838673091365,0.9,0.865
15,64,0.1,150,0.11141324904271847,0.17300189496449916,0.98,0.945
15,64,0.1,500,0.04355376031381709,0.09548218232992844,1.0,0.975
20,16,0.001,100,0.6840339179682826,0.7071964041201204,0.57,0.455
20,16,0.001,150,0.6834242680655599,0.7108491206040938,0.57,0.455
20,16,0.001,500,0.6822904966233526,0.71510883378811,0.57,0.455
20,16,0.01,100,0.6774309085659618,0.7144803496336141,0.605,0.475
20,16,0.01,150,0.6763447034388196,0.7188303008054032,0.66,0.56
20,16,0.01,500,0.5388693612179469,0.5713629525336174,0.76,0.68
20,16,0.1,100,0.3129327300521637,0.37330029649874397,0.895,0.855
20,16,0.1,150,0.13393217732017462,0.19602151292576347,0.965,0.93
20,16,0.1,500,0.04091055109817265,0.09755114346615176,1.0,0.975
20,32,0.001,100,0.6840330852452499,0.7072003918146759,0.57,0.455
20,32,0.001,150,0.6834239122390996,0.7108525626088908,0.57,0.455
20,32,0.001,500,0.6822905263934302,0.7151084309464479,0.57,0.455
20,32,0.01,100,0.6774243693789274,0.7144640740169692,0.605,0.475
20,32,0.01,150,0.6763472135090279,0.7188237285370395,0.66,0.56
20,32,0.01,500,0.5390559972363356,0.5715452818597995,0.76,0.68
20,32,0.1,100,0.3096456366462476,0.36358517070456337,0.895,0.855
20,32,0.1,150,0.13416112920658865,0.1949534368501531,0.975,0.93
20,32,0.1,500,0.041344909686066716,0.09842697978190351,1.0,0.97
20,64,0.001,100,0.6840312738729036,0.7072091036081574,0.57,0.455
20,64,0.001,150,0.6834231424741497,0.7108601414288074,0.57,0.455
20,64,0.001,500,0.6822907092881301,0.7151091179339703,0.57,0.455
20,64,0.01,100,0.6774232560600152,0.7144878400561518,0.605,0.475
20,64,0.01,150,0.6763487972843061,0.7188382316146104,0.66,0.56
20,64,0.01,500,0.5395743790627203,0.5719985208572276,0.76,0.68
20,64,0.1,100,0.33157420283652,0.39279608707270713,0.88,0.825
20,64,0.1,150,0.14215639117342027,0.21444422532763563,0.95,0.91
20,64,0.1,500,0.04187728066945823,0.09820459398347704,1.0,0.97
25,16,0.001,100,0.6841453737532237,0.7069057241846453,0.57,0.455
25,16,0.001,150,0.6834865212187228,0.7106938699457791,0.57,0.455
25,16,0.001,500,0.6824478547321976,0.7152457648713927,0.57,0.455
25,16,0.01,100,0.6776428263945413,0.7146876974280709,0.585,0.475
25,16,0.01,150,0.6760357542692842,0.7185326578074601,0.66,0.56
