Hidden Layers,Batch Size,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
15,32,0.01,300,0.24507628971002948,0.2599846605874852,0.57,0.455
15,32,0.01,500,0.24498226233888815,0.26053355004294215,0.57,0.455
15,32,0.01,1000,0.24426974421972214,0.2608318592685657,0.57,0.455
15,32,0.1,300,0.23733677327231484,0.25961510122811315,0.67,0.58
15,32,0.1,500,0.20773445225848147,0.23126629491668113,0.67,0.595
15,32,0.1,1000,0.09186469825531898,0.11758716131585785,0.91,0.85
15,32,0.13,300,0.22403024106338268,0.24807963514690393,0.665,0.595
15,32,0.13,500,0.17272674124011084,0.19158743487136787,0.76,0.685
15,32,0.13,1000,0.06656772107662556,0.08973358669934729,0.925,0.895
15,64,0.01,300,0.24528240996801343,0.25809049884796553,0.57,0.455
15,64,0.01,500,0.2451231556686851,0.25931816901918425,0.57,0.455
15,64,0.01,1000,0.24493277414343823,0.2611095230741519,0.57,0.455
15,64,0.1,300,0.24201064768169836,0.2586678003413263,0.615,0.49
15,64,0.1,500,0.23897587729777903,0.262265375660482,0.675,0.565
15,64,0.1,1000,0.19165615500013225,0.21104368530490866,0.69,0.635
15,64,0.13,300,0.2409058112490051,0.2595429054402506,0.66,0.56
15,64,0.13,500,0.22897432779264487,0.25558721278365104,0.685,0.585
15,64,0.13,1000,0.1624158738412811,0.18257261609340183,0.77,0.705
15,128,0.01,300,0.2461378138130466,0.2547938351249075,0.57,0.455
15,128,0.01,500,0.24547392342315788,0.25701659580736974,0.57,0.455
15,128,0.01,1000,0.24507718821037477,0.2600030475237434,0.57,0.455
15,128,0.1,300,0.24460729195951103,0.26078748696692317,0.57,0.455
15,128,0.1,500,0.24256750836085808,0.2606564238252403,0.575,0.455
15,128,0.1,1000,0.23770926229737246,0.26108444254761376,0.665,0.57
15,128,0.13,300,0.24394587797483078,0.2604443090003891,0.57,0.455
15,128,0.13,500,0.24113166509681633,0.26138002486797474,0.635,0.515
15,128,0.13,1000,0.22549056787695,0.25067853139813234,0.67,0.6
20,32,0.01,300,0.24501937252103212,0.26018227560972973,0.57,0.455
20,32,0.01,500,0.24487596533156478,0.26055143511666573,0.57,0.455
20,32,0.01,1000,0.24374960642309781,0.2604793385120953,0.57,0.455
20,32,0.1,300,0.24034800766323625,0.2631381467648258,0.675,0.57
20,32,0.1,500,0.21887925871753702,0.24444973765775616,0.67,0.6
20,32,0.1,1000,0.11411111827270405,0.13600586141994747,0.885,0.805
20,32,0.13,300,0.23499955007714723,0.2595340465993774,0.67,0.585
20,32,0.13,500,0.18663107430764814,0.2059759159046888,0.725,0.65
20,32,0.13,1000,0.07611242737345042,0.09826534294789104,0.91,0.88
20,64,0.01,300,0.24526342612832372,0.25801156311423235,0.57,0.455
20,64,0.01,500,0.24507336557136483,0.2593414850014009,0.57,0.455
20,64,0.01,1000,0.24479307202971903,0.26093876493677665,0.57,0.455
20,64,0.1,300,0.2411604209147693,0.2629912603901197,0.645,0.525
20,64,0.1,500,0.24055039980358667,0.2628182838087499,0.66,0.56
20,64,0.1,1000,0.20697121713049832,0.22741189417006183,0.675,0.6
20,64,0.13,300,0.24098276393951956,0.26421483490897496,0.68,0.565
20,64,0.13,500,0.23693123556858417,0.26170091785730776,0.67,0.57
20,64,0.13,1000,0.17476330228181491,0.1888242307134418,0.765,0.695
20,128,0.01,300,0.2461650765251602,0.2546753769413204,0.57,0.455
20,128,0.01,500,0.24546759151264788,0.2569309667548174,0.57,0.455
20,128,0.01,1000,0.2450383361226175,0.25994218384253265,0.57,0.455
20,128,0.1,300,0.24418331506702198,0.26067560824664554,0.57,0.455
20,128,0.1,500,0.24183213057495315,0.26068622090197757,0.61,0.475
20,128,0.1,1000,0.24053710671675851,0.2622670865111839,0.675,0.565
20,128,0.13,300,0.2431378690900985,0.2603228754058905,0.57,0.455
20,128,0.13,500,0.24110364091333733,0.2618964208937189,0.65,0.545
20,128,0.13,1000,0.23730214307611144,0.26066639705908495,0.67,0.58
25,32,0.01,300,0.24506522498128225,0.2598718754678979,0.57,0.455
25,32,0.01,500,0.2449332078209186,0.260506439791847,0.57,0.455
25,32,0.01,1000,0.2439847949244496,0.26062567068722264,0.57,0.455
25,32,0.1,300,0.24008507682452937,0.26094190887362356,0.67,0.57
25,32,0.1,500,0.220479942399145,0.24580445082303615,0.67,0.6
25,32,0.1,1000,0.07825986457720263,0.09073521067991176,0.91,0.9
25,32,0.13,300,0.23573846196504722,0.25868321422259216,0.685,0.585
25,32,0.13,500,0.18675277764991308,0.20600376713865864,0.725,0.655
25,32,0.13,1000,0.04915520763189254,0.06485454608698416,0.965,0.95
25,64,0.01,300,0.24532282561089697,0.2578175069867341,0.57,0.455
25,64,0.01,500,0.24511625818636426,0.25922516837760046,0.57,0.455
25,64,0.01,1000,0.2448669379520146,0.26098797382589184,0.57,0.455
25,64,0.1,300,0.24174988375413795,0.2586298876826,0.635,0.505
25,64,0.1,500,0.24041362280269676,0.2628639771788282,0.66,0.565
25,64,0.1,1000,0.20874201770939524,0.22892311168861043,0.675,0.6
25,64,0.13,300,0.24105198557122695,0.2595392425113735,0.67,0.565
25,64,0.13,500,0.23805056726699292,0.2627322228427575,0.675,0.57
