latent_size,learning_rate,weight_decay,encoder_channels,kernel_size,stride,padding,final_train_loss,final_val_loss
32,0.001,1e-05,"(16, 32)",3,2,1,0.002909179739654064,0.003280065143480897
32,0.001,1e-05,"(32, 64)",3,2,1,0.002011080115723113,0.002154655307531357
32,0.001,0.0001,"(16, 32)",3,2,1,0.004498826302587986,0.004716943074017763
32,0.001,0.0001,"(32, 64)",3,2,1,0.0038428665262957413,0.004094542376697064
32,0.0001,1e-05,"(16, 32)",3,2,1,0.010673837351302305,0.011820823214948177
32,0.0001,1e-05,"(32, 64)",3,2,1,0.005990829654037953,0.006488620955497027
32,0.0001,0.0001,"(16, 32)",3,2,1,0.011280740735431512,0.012472003251314163
32,0.0001,0.0001,"(32, 64)",3,2,1,0.009003905411809683,0.00983140140771866
64,0.001,1e-05,"(16, 32)",3,2,1,0.0026259386570503316,0.0030095558892935513
64,0.001,1e-05,"(32, 64)",3,2,1,0.0017615804091716807,0.002147761429660022
64,0.001,0.0001,"(16, 32)",3,2,1,0.004161964956050118,0.004469677824527025
64,0.001,0.0001,"(32, 64)",3,2,1,0.0037515563890337944,0.003921883003786206
64,0.0001,1e-05,"(16, 32)",3,2,1,0.008874830647061268,0.009756426848471165
64,0.0001,1e-05,"(32, 64)",3,2,1,0.004861579084148009,0.0053063204512000086
64,0.0001,0.0001,"(16, 32)",3,2,1,0.011318162443737189,0.01249169982969761
64,0.0001,0.0001,"(32, 64)",3,2,1,0.008705038266877333,0.009565933682024479
128,0.001,1e-05,"(16, 32)",3,2,1,0.0020789723781247933,0.0022344824858009813
128,0.001,1e-05,"(32, 64)",3,2,1,0.00144251456639419,0.0015935755055397748
128,0.001,0.0001,"(16, 32)",3,2,1,0.00390336901259919,0.004155046679079533
128,0.001,0.0001,"(32, 64)",3,2,1,0.003551135333254933,0.003849232876673341
128,0.0001,1e-05,"(16, 32)",3,2,1,0.005726866889744997,0.006246533747762442
128,0.0001,1e-05,"(32, 64)",3,2,1,0.0040666586719453335,0.00443184407427907
128,0.0001,0.0001,"(16, 32)",3,2,1,0.009801709378759066,0.010676469765603542
128,0.0001,0.0001,"(32, 64)",3,2,1,0.0058947555844982465,0.006368959415704012
256,0.001,1e-05,"(16, 32)",3,2,1,0.0018872925204535325,0.002202961752191186
256,0.001,1e-05,"(32, 64)",3,2,1,0.001328307658744355,0.0016643102327361702
256,0.001,0.0001,"(16, 32)",3,2,1,0.003720326302573085,0.004130883878096938
256,0.001,0.0001,"(32, 64)",3,2,1,0.003557461158682903,0.003985992176458239
256,0.0001,1e-05,"(16, 32)",3,2,1,0.005102911666035652,0.005611511748284102
256,0.0001,1e-05,"(32, 64)",3,2,1,0.0031770734830449026,0.0034871993493288756
256,0.0001,0.0001,"(16, 32)",3,2,1,0.008160618835439285,0.008986248336732387
256,0.0001,0.0001,"(32, 64)",3,2,1,0.007414215027044217,0.008303285241127015
