latent_size,learning_rate,weight_decay,encoder_channels,kernel_size,stride,padding,lambda_classification,final_train_mse_loss,final_val_mse_loss,final_train_classification_loss,final_val_classification_loss,final_train_classification_accuracy,final_val_classification_accuracy
16,0.001,1e-05,"(32, 16, 16, 1024)",3,2,1,0.1,0.004074389527862271,0.004350092802196741,4.458073626892656e-05,0.4749497102519672,100.0,97.0
16,0.001,1e-05,"(32, 16, 16, 1024)",3,2,1,0.25,0.006181982234120369,0.006718989871442318,0.00036641430465748453,0.6385396908554923,100.0,97.0
16,0.001,1e-05,"(32, 16, 16, 1024)",3,2,1,0.5,0.006024546256909768,0.0064122751541435714,1.4894876196909952e-05,0.741778055506673,100.0,96.5
16,0.001,0.0001,"(32, 16, 16, 1024)",3,2,1,0.1,0.00525957848255833,0.005579602643847465,0.00010933709475352771,0.46233763406868095,100.0,97.0
16,0.001,0.0001,"(32, 16, 16, 1024)",3,2,1,0.25,0.005613976151992877,0.005879098810255528,5.218239456932376e-05,0.5201827383923228,100.0,96.5
16,0.001,0.0001,"(32, 16, 16, 1024)",3,2,1,0.5,0.007430028642217318,0.007715482544153929,2.691452991219497e-05,0.7277467115358831,100.0,96.0
16,0.0001,1e-05,"(32, 16, 16, 1024)",3,2,1,0.1,0.009804165177047252,0.010127198360860347,0.0002756101331033278,0.5109903692779995,100.0,96.0
16,0.0001,1e-05,"(32, 16, 16, 1024)",3,2,1,0.25,0.01275702003389597,0.012941076904535293,0.00020428312996955355,0.6317388434855001,100.0,95.5
16,0.0001,1e-05,"(32, 16, 16, 1024)",3,2,1,0.5,0.012606741078197956,0.012833271063864232,5.918826442722273e-05,0.7936976823191526,100.0,95.0
16,0.0001,0.0001,"(32, 16, 16, 1024)",3,2,1,0.1,0.012165301889181137,0.012356473989784717,0.0013113727340775465,0.3699942312551138,100.0,95.5
16,0.0001,0.0001,"(32, 16, 16, 1024)",3,2,1,0.25,0.012676578673223655,0.012912394665181636,0.0001413353586804078,0.7197085999872069,100.0,95.5
16,0.0001,0.0001,"(32, 16, 16, 1024)",3,2,1,0.5,0.013333211354911327,0.013563955686986446,0.0002114871672862743,0.6960202450928318,100.0,94.5
32,0.001,1e-05,"(64, 32, 32, 2048)",3,2,1,0.1,0.010777039378881454,0.011369261033833027,0.021859151683023582,0.3588314936149618,99.16666666666667,97.0
32,0.001,1e-05,"(64, 32, 32, 2048)",3,2,1,0.25,0.018758353814482688,0.016780714467167855,0.0034363016959499267,0.5825151316935125,99.83333333333333,95.5
32,0.001,1e-05,"(64, 32, 32, 2048)",3,2,1,0.5,0.0034807956932733455,0.0038216465059667825,4.3171285444287835e-07,1.5931632405589315,100.0,97.0
32,0.001,0.0001,"(64, 32, 32, 2048)",3,2,1,0.1,0.0043452269397675995,0.004559844303876162,3.983913801979118e-05,0.4939090740511892,100.0,97.5
32,0.001,0.0001,"(64, 32, 32, 2048)",3,2,1,0.25,0.005374403403451045,0.005636973846703768,1.5749745639084267e-05,0.6330275808270015,100.0,97.0
32,0.001,0.0001,"(64, 32, 32, 2048)",3,2,1,0.5,0.009639096359411875,0.009919344820082188,9.322975888300296e-07,1.177400479907955,100.0,96.5
32,0.0001,1e-05,"(64, 32, 32, 2048)",3,2,1,0.1,0.0052511890853444735,0.005546341370791197,7.931083793115098e-05,0.5892365892294356,100.0,95.5
32,0.0001,1e-05,"(64, 32, 32, 2048)",3,2,1,0.25,0.005640007524440686,0.005944904778152705,4.502975431004567e-05,0.6664362656144385,100.0,95.5
32,0.0001,1e-05,"(64, 32, 32, 2048)",3,2,1,0.5,0.00671312545115749,0.007015924025326967,7.876037234533821e-05,0.7635447279204521,100.0,95.0
32,0.0001,0.0001,"(64, 32, 32, 2048)",3,2,1,0.1,0.00618012089903156,0.006624886188656092,0.00027516507827385795,0.527709157718491,100.0,96.0
32,0.0001,0.0001,"(64, 32, 32, 2048)",3,2,1,0.25,0.006648732423782349,0.007027091775089502,0.0001278057541708222,0.5621095594094367,100.0,95.0
32,0.0001,0.0001,"(64, 32, 32, 2048)",3,2,1,0.5,0.007359380070120096,0.007590235620737076,0.00025714405053956093,0.537144730391592,100.0,96.5
